City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,24.410000000000025,77,40,1.54,BR,1680514193
1,makakilo city,21.3469,-158.0858,20.25,92,100,1.54,US,1680514252
2,punta arenas,-53.15,-70.9167,9.060000000000002,61,75,5.14,CL,1680514060
3,lebu,-37.6167,-73.65,10.230000000000018,88,4,5.7,CL,1680514275
4,fortuna,40.5982,-124.1573,3.2900000000000205,92,88,0.89,US,1680514256
5,ushuaia,-54.8,-68.3,11.810000000000002,50,0,7.72,AR,1680514247
6,rawson,-43.3002,-65.1023,5.160000000000025,93,20,2.57,AR,1680514348
7,caldas da rainha,39.4033,-9.1384,17.75,67,100,0.89,PT,1680514338
8,busselton,-33.65,115.3333,22.230000000000018,53,1,7.97,AU,1680514180
9,ponta do sol,32.6667,-17.1,23.890000000000043,76,46,0.37,PT,1680514349
10,puerto ayora,-0.7393,-90.3518,23.640000000000043,92,47,1.44,EC,1680514181
11,lorengau,-2.0226,147.2712,27.170000000000016,77,91,1.7,PG,1680514344
12,cidreira,-30.1811,-50.2056,19.189999999999998,79,24,5.74,BR,1680514345
13,provideniya,64.3833,-173.3,-12.229999999999961,96,100,1.53,RU,1680514284
14,east london,-33.0153,27.9116,19.52000000000004,88,75,10.8,ZA,1680514198
15,yichun,47.7,128.9,5.900000000000034,74,100,4.87,CN,1680514517
16,hilo,19.7297,-155.09,21.82000000000005,98,100,3.09,US,1680514016
17,hermanus,-34.4187,19.2345,19.890000000000043,76,2,4.88,ZA,1680514175
18,yagodnoye,62.55,149.6667,-22.319999999999965,91,1,1.81,RU,1680514518
19,puyo,-1.4667,-77.9833,17.29000000000002,96,96,1.08,EC,1680514519
20,rikitea,-23.1203,-134.9692,26.82000000000005,81,40,6.51,PF,1680513955
21,sumbe,-11.2061,13.8437,28.560000000000002,72,91,2.68,AO,1680514379
22,lakatoro,-16.0999,167.4164,27.629999999999995,83,36,4.54,VU,1680514521
23,la ronge,55.1001,-105.2842,-17.859999999999985,65,0,1.54,CA,1680514522
24,caravelas,-17.7125,-39.2481,25.82000000000005,73,98,4.03,BR,1680514297
25,stephenville,32.2207,-98.2023,18.0,95,100,0.45,US,1680514523
26,albany,42.6001,-73.9662,-1.7699999999999818,62,58,1.79,US,1680514199
27,tuktoyaktuk,69.4541,-133.0374,-19.599999999999966,98,95,2.84,CA,1680514178
28,moscow,55.7522,37.6156,12.860000000000014,59,100,2.21,RU,1680514246
29,mar del plata,-38.0023,-57.5575,14.490000000000009,85,0,2.57,AR,1680514260
30,sibolga,1.7427,98.7792,26.640000000000043,84,100,0.2,ID,1680514526
31,waipawa,-41.4122,175.5153,10.939999999999998,76,81,2.58,NZ,1680514526
32,mitsamiouli,-11.3847,43.2844,28.220000000000027,72,79,1.16,KM,1680514487
33,vaini,-21.2,-175.2,22.090000000000032,94,20,0.51,TO,1680514205
34,jamestown,42.097,-79.2353,4.840000000000032,68,0,4.02,US,1680514242
35,kontagora,10.3999,5.4695,35.73000000000002,7,87,2.55,NG,1680514528
36,cabatuan,10.8794,122.486,27.610000000000014,69,64,4.29,PH,1680514529
37,west bay,19.3667,-81.4167,25.560000000000002,84,1,0.45,KY,1680514530
38,saint-philippe,-21.3585,55.7679,26.77000000000004,75,56,3.53,RE,1680514187
39,talnakh,69.4865,88.3972,-16.41999999999996,92,100,5.92,RU,1680514367
40,nelson bay,-32.7167,152.15,22.220000000000027,85,95,7.15,AU,1680514532
41,serpa,37.9458,-7.5975,16.980000000000018,27,49,2.22,PT,1680514533
42,zyryanka,65.75,150.85,-17.559999999999974,89,13,4.21,RU,1680514535
43,port townsend,48.117,-122.7605,3.6100000000000136,86,75,2.68,US,1680514535
44,swift current,50.2834,-107.8014,-10.549999999999955,85,75,2.57,CA,1680514536
45,poum,-20.2333,164.0167,27.260000000000048,78,100,6.01,NC,1680514265
46,atuona,-9.8,-139.0333,26.590000000000032,83,99,6.24,PF,1680513948
47,bredasdorp,-34.5322,20.0403,22.960000000000036,51,11,6.33,ZA,1680514204
48,dikson,73.5069,80.5464,-25.899999999999977,93,99,4.4,RU,1680514352
49,constitucion,-35.3333,-72.4167,13.270000000000039,62,65,3.68,CL,1680514271
50,camacha,33.0833,-16.3333,17.680000000000007,68,40,7.2,PT,1680514540
51,tiksi,71.6872,128.8694,-6.439999999999998,80,100,9.95,RU,1680514199
52,hobart,-42.8794,147.3294,15.590000000000032,80,75,2.57,AU,1680514199
53,pevek,69.7008,170.3133,-32.39999999999998,100,23,2.57,RU,1680514285
54,port alfred,-33.5906,26.891,21.210000000000036,85,91,4.92,ZA,1680514187
55,sindgi,16.9167,76.2333,35.80000000000001,14,6,3.33,IN,1680514545
56,zaysan,47.4667,84.8667,2.7100000000000364,22,0,3.44,KZ,1680514405
57,lufilufi,-13.8745,-171.5986,24.879999999999995,72,100,1.29,WS,1680514546
58,oktyabrskoye,43.0645,44.7417,18.08000000000004,27,20,3.0,RU,1680514385
59,iqaluit,63.7506,-68.5145,-15.149999999999977,51,20,1.03,CA,1680514214
60,aklavik,68.2191,-135.0107,-17.339999999999975,93,96,2.92,CA,1680514189
61,morant bay,17.8815,-76.4093,24.79000000000002,84,14,3.53,JM,1680514547
62,palmas,-10.2128,-48.3603,22.930000000000007,94,40,1.54,BR,1680514548
63,avigliana,45.0771,7.3986,17.010000000000048,31,0,1.03,IT,1680514548
64,gua musang,4.8823,101.9644,26.950000000000045,82,70,1.27,MY,1680514549
65,nikolskoye,59.7035,30.7861,-1.0600000000000023,94,100,5.08,RU,1680514241
66,tartagal,-22.5164,-63.8013,18.629999999999995,85,71,1.12,AR,1680514550
67,thompson,55.7435,-97.8558,-26.909999999999968,83,0,2.06,CA,1680514173
68,cape town,-33.9258,18.4232,22.83000000000004,67,75,1.79,ZA,1680514040
69,new norfolk,-42.7826,147.0587,15.400000000000034,59,98,1.25,AU,1680514179
70,san luis,-33.295,-66.3356,16.640000000000043,81,69,2.25,AR,1680514552
71,mataura,-46.1927,168.8643,14.710000000000036,73,100,0.37,NZ,1680514185
72,airai,-8.9266,125.4092,15.890000000000043,92,87,0.37,TL,1680514256
73,huarmey,-10.0681,-78.1522,24.850000000000023,82,95,2.51,PE,1680514553
74,hithadhoo,-0.6,73.0833,28.390000000000043,67,5,3.41,MV,1680514187
75,salinopolis,-0.6136,-47.3561,25.310000000000002,83,91,3.44,BR,1680514554
76,maua,-23.6678,-46.4614,17.83000000000004,88,1,1.23,BR,1680514554
77,khatanga,71.9667,102.5,-16.549999999999955,92,100,5.16,RU,1680514197
78,flinders,-34.5833,150.8552,19.650000000000034,80,30,3.97,AU,1680514167
